id,username,email,country,balance
1,hiep.to,tanhiep2012003@gmail.com,Vietnam,12500.50
2,john.doe,john@example.com,USA,980.75
3,jane.smith,jane.smith@example.com,UK,2450.00
4,taro.yamada,taro@example.jp,Japan,3321.10
5,maria.garcia,maria@example.es,Spain,502.25
6,li.wei,liwei@example.cn,China,9999.99
7,peter.nguyen,peter.nguyen@example.com,Vietnam,320.00
8,emma.wilson,emma.wilson@example.com,Australia,2750.45
9,ahmed.khan,ahmed.khan@example.pk,Pakistan,128.00
10,sophia.lee,sophia.lee@example.kr,South Korea,4200.00
